RBR data file,Version 0.1,,,,,,,,,
Model:,RBRconcerto,Serial Number:,65578,Firmware version:,11,,,,,
Logging start time:,2013-08-10,Logging end time:,Not available,Logging sampling period (s):,0.167,,,,,
,,,,,,,,,,
,,,,,,,,,,
Timestamp (UTC),Conductivity (mS/cm),Temperature (C),Pressure (dbar),Chlorophyll a (ug/l),Voltage (V),Depth (m),Salinity (PSU),Specific Conductivity (uS/cm),Density Anomaly (kg/m3),Speed of sound (m/s)
11/08/2013 15:50:57.000,28.95573019,10.10011386,11.9424609,,,1.795201317,25.75801646,40474.19266,19.73996727,1479.009129
11/08/2013 15:50:57.166,28.9732084,10.09063998,11.94267253,2.063165355,2.587928708,1.795411218,25.78188803,40508.86964,19.75998193,1479.003151
11/08/2013 15:50:57.333,28.98764732,10.08296176,11.94203764,2.051522768,2.587947473,1.794781514,25.80151334,40537.36936,19.77641603,1478.998627
11/08/2013 15:50:57.500,28.99486678,10.07971769,11.94394229,2.03513486,2.587957408,1.796670627,25.81090488,40550.97903,19.78422526,1478.998081
11/08/2013 15:50:57.666,28.9896005,10.07921365,11.9385458,2.022885312,2.588565633,1.79131814,25.80609845,40544.15974,19.78053711,1478.990321
11/08/2013 15:50:57.833,28.98445287,10.07641456,11.93843998,2.020402296,2.590166777,1.79121319,25.80303994,40539.99161,19.77858185,1478.976314
11/08/2013 15:50:58.000,28.99106995,10.07080015,11.94076788,2.02029194,2.590178367,1.793522105,25.8135296,40555.32961,19.7876073,1478.968376
11/08/2013 15:50:58.166,28.99303225,10.06682648,11.94764577,2.01791928,2.590189406,1.800343902,25.81828309,40562.38123,19.79194094,1478.95961
11/08/2013 15:50:58.333,28.9925394,10.06720187,11.95166668,2.011463437,2.590349465,1.804332031,25.81753053,40561.28483,19.79131681,1478.960147
11/08/2013 15:50:58.500,28.99574297,10.06919139,11.94912716,2.001034768,2.590348913,1.801813213,25.81925866,40563.61024,19.79234789,1478.969523
11/08/2013 15:50:58.666,28.95268177,10.07590515,11.93918068,1.996896408,2.579830264,1.791947845,25.77222953,40496.10511,19.75468842,1478.937165
11/08/2013 15:50:58.833,28.93102339,10.07181902,11.92595398,1.994358213,2.572910187,1.77882901,25.75388908,40470.22934,19.74097673,1478.899709
