,,,,,,,,,,,1 m2 plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect ,Ecotype,Date,Time,Start _ Lat,Start_Long,End_Lat,End_Long,Start_Elevation (m),End-Elevation (m),Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
POOPSH01,,July 16/15,,69.14853,-105.1917,69.14861,-105.19236,31,32,Caribou,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,Goose/Duck,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,2,3,7,0,8,4,6,4,7,0,2,0,1,2,0
,,,,,,,,,,,50cm sub plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,Caribou,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,,,,,,,,,,Goose/Duck,1,,0,,0,,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect ,Ecotype,Date,Time,Start _ Lat,Start_Long,End_Lat,End_Long,Start_Elevation (m),End-Elevation (m),Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
POOPSH02,,July 16/15,,69.14864,-105.19164,69.14867,-105.19238,32,31,Caribou,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,Goose/Duck,0,2,0,0,1,3,1,4,1,0,0,2,2,2,3,3,6,11,4,1,0,1,3,0,0,0,4,0,1,0
,,,,,,,,,,,50cm sub plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,Caribou,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,,,,,,,,,,Goose/Duck,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,3,,0,,2,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Ecotype,Date,Time,Start_Lat,Start_Long,End_Lat,End_Long,Start_Elevation (m),End_Elevation (m),Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
